1000 тестов каждого вида выборок, выборки генерируются заново в цикле
 №   | выборка, чел | последовательно | параллельно   | разность, сек | %
------------------------------------------------------------------------------
 1   | 100          | 0,0082790       | 0,0135102     | -0,0052312    | 63,2 
 2   | 100          | 0,0002154       | 0,0009935     | -0,0007781    | 361,2 
 3   | 100          | 0,0001608       | 0,0008858     | -0,0007250    | 450,9 
 4   | 100          | 0,0003109       | 0,0013317     | -0,0010208    | 328,3 
 5   | 100          | 0,0002216       | 0,0009246     | -0,0007030    | 317,2 
 6   | 100          | 0,0002317       | 0,0011869     | -0,0009552    | 412,3 
 7   | 100          | 0,0001338       | 0,0013996     | -0,0012658    | 946,0 
 8   | 100          | 0,0001780       | 0,0009564     | -0,0007784    | 437,3 
 9   | 100          | 0,0001182       | 0,0012210     | -0,0011028    | 933,0 
 10  | 100          | 0,0001122       | 0,0017230     | -0,0016108    | 1435,7 
 11  | 100          | 0,0001224       | 0,0008699     | -0,0007475    | 610,7 
 12  | 100          | 0,0000916       | 0,0008516     | -0,0007600    | 829,7 
 13  | 100          | 0,0001034       | 0,0006629     | -0,0005595    | 541,1 
 14  | 100          | 0,0001067       | 0,0006746     | -0,0005679    | 532,2 
 15  | 100          | 0,0001310       | 0,0008248     | -0,0006938    | 529,6 
 16  | 100          | 0,0001494       | 0,0009278     | -0,0007784    | 521,0 
 17  | 100          | 0,0000751       | 0,0008959     | -0,0008208    | 1093,0 
 18  | 100          | 0,0001167       | 0,0007830     | -0,0006663    | 570,9 
 19  | 100          | 0,0000947       | 0,0012370     | -0,0011423    | 1206,2 
 20  | 100          | 0,0000859       | 0,0006083     | -0,0005224    | 608,1 
 21  | 100          | 0,0000755       | 0,0005766     | -0,0005011    | 663,7 
 22  | 100          | 0,0000869       | 0,0009312     | -0,0008443    | 971,6 
 23  | 100          | 0,0000795       | 0,0005918     | -0,0005123    | 644,4 
 24  | 100          | 0,0000809       | 0,0005538     | -0,0004729    | 584,6 
 25  | 100          | 0,0000868       | 0,0006310     | -0,0005442    | 627,0 
 26  | 100          | 0,0000748       | 0,0007113     | -0,0006365    | 850,9 
 27  | 100          | 0,0000800       | 0,0004941     | -0,0004141    | 517,6 
 28  | 100          | 0,0001354       | 0,0006856     | -0,0005502    | 406,4 
 29  | 100          | 0,0000698       | 0,0006386     | -0,0005688    | 814,9 
 30  | 100          | 0,0000652       | 0,0005858     | -0,0005206    | 798,5 
 31  | 100          | 0,0000818       | 0,0004178     | -0,0003360    | 410,8 
 32  | 100          | 0,0000814       | 0,0007781     | -0,0006967    | 855,9 
 33  | 100          | 0,0000711       | 0,0006384     | -0,0005673    | 797,9 
 34  | 100          | 0,0000921       | 0,0003332     | -0,0002411    | 261,8 
 35  | 100          | 0,0000719       | 0,0006005     | -0,0005286    | 735,2 
 36  | 100          | 0,0000888       | 0,0004990     | -0,0004102    | 461,9 
 37  | 100          | 0,0000893       | 0,0003428     | -0,0002535    | 283,9 
 38  | 100          | 0,0000864       | 0,0008389     | -0,0007525    | 871,0 
 39  | 100          | 0,0000669       | 0,0003988     | -0,0003319    | 496,1 
 40  | 100          | 0,0000604       | 0,0005245     | -0,0004641    | 768,4 
 41  | 100          | 0,0007292       | 0,0016763     | -0,0009471    | 129,9 
 42  | 100          | 0,0001320       | 0,0003554     | -0,0002234    | 169,2 
 43  | 100          | 0,0000643       | 0,0004325     | -0,0003682    | 572,6 
 44  | 100          | 0,0000501       | 0,0005044     | -0,0004543    | 906,8 
 45  | 100          | 0,0000737       | 0,0007071     | -0,0006334    | 859,4 
 46  | 100          | 0,0000520       | 0,0004277     | -0,0003757    | 722,5 
 47  | 100          | 0,0000985       | 0,0002615     | -0,0001630    | 165,5 
 48  | 100          | 0,0000834       | 0,0004404     | -0,0003570    | 428,1 
 49  | 100          | 0,0000679       | 0,0004293     | -0,0003614    | 532,3 
 50  | 100          | 0,0000479       | 0,0003755     | -0,0003276    | 683,9 
 51  | 100          | 0,0000510       | 0,0004500     | -0,0003990    | 782,4 
