20:46:52: Executing task 'JvmComprehension.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :JvmComprehension.main()
[0.009s][info][class,load] opened: C:\Program Files\Java\jdk-14.0.1\lib\modules
[0.028s][info][class,load] java.lang.Object source: shared objects file
[0.028s][info][class,load] java.io.Serializable source: shared objects file
[0.028s][info][class,load] java.lang.Comparable source: shared objects file
[0.028s][info][class,load] java.lang.CharSequence source: shared objects file
[0.028s][info][class,load] java.lang.constant.Constable source: shared objects file
[0.028s][info][class,load] java.lang.constant.ConstantDesc source: shared objects file
[0.028s][info][class,load] java.lang.String source: shared objects file
[0.028s][info][class,load] java.lang.reflect.AnnotatedElement source: shared objects file
[0.028s][info][class,load] java.lang.reflect.GenericDeclaration source: shared objects file
[0.028s][info][class,load] java.lang.reflect.Type source: shared objects file
[0.028s][info][class,load] java.lang.invoke.TypeDescriptor source: shared objects file
[0.029s][info][class,load] java.lang.invoke.TypeDescriptor$OfField source: shared objects file
[0.029s][info][class,load] java.lang.Class source: shared objects file
[0.029s][info][class,load] java.lang.Cloneable source: shared objects file
[0.029s][info][class,load] java.lang.ClassLoader source: shared objects file
[0.029s][info][class,load] java.lang.System source: shared objects file
[0.029s][info][class,load] java.lang.Throwable source: shared objects file
[0.029s][info][class,load] java.lang.Error source: shared objects file
[0.029s][info][class,load] java.lang.ThreadDeath source: shared objects file
[0.029s][info][class,load] java.lang.Exception source: shared objects file
[0.029s][info][class,load] java.lang.RuntimeException source: shared objects file
[0.029s][info][class,load] java.lang.SecurityManager source: shared objects file
[0.029s][info][class,load] java.security.ProtectionDomain source: shared objects file
[0.029s][info][class,load] java.security.AccessControlContext source: shared objects file
[0.029s][info][class,load] java.security.AccessController source: shared objects file
[0.029s][info][class,load] java.security.SecureClassLoader source: shared objects file
[0.029s][info][class,load] java.lang.ReflectiveOperationException source: shared objects file
[0.030s][info][class,load] java.lang.ClassNotFoundException source: shared objects file
[0.030s][info][class,load] java.lang.Record source: shared objects file
[0.030s][info][class,load] java.lang.LinkageError source: shared objects file
[0.030s][info][class,load] java.lang.NoClassDefFoundError source: shared objects file
[0.030s][info][class,load] java.lang.ClassCastException source: shared objects file
[0.030s][info][class,load] java.lang.ArrayStoreException source: shared objects file
[0.030s][info][class,load] java.lang.VirtualMachineError source: shared objects file
[0.030s][info][class,load] java.lang.OutOfMemoryError source: shared objects file
[0.030s][info][class,load] java.lang.StackOverflowError source: shared objects file
[0.030s][info][class,load] java.lang.IllegalMonitorStateException source: shared objects file
[0.030s][info][class,load] java.lang.ref.Reference source: shared objects file
